feature,class
"[-1.1359882e+02  1.2157067e+02 -1.9162262e+01  4.2363937e+01
 -6.3622661e+00  1.8621931e+01 -1.3699734e+01  1.5339802e+01
 -1.2274304e+01  1.0970945e+01 -8.3260612e+00  8.8020878e+00
 -3.6699414e+00  5.7446756e+00 -5.1627827e+00  7.5170636e-01
 -1.6878542e+00 -4.0872991e-01 -2.3026767e+00  1.2224669e+00
 -3.5328746e+00 -1.1397806e+00 -4.2828279e+00 -4.2260838e+00
  9.1518766e-01  9.1406375e-01 -5.7618070e+00 -3.9328036e+00
  1.5094347e+00  2.6984656e+00  5.6560731e+00 -3.2690079e+00
 -2.0606379e-01 -2.9996979e+00  4.4763169e+00 -4.7685498e-01
  6.0062852e+00 -5.9690375e-02 -3.4585848e+00 -1.8418324e+00]",blues
"[-2.0752383e+02  1.2398514e+02  8.9470186e+00  3.5867149e+01
  2.9095948e+00  2.1519472e+01 -8.5565128e+00  2.3370676e+01
 -1.0103608e+01  1.1899242e+01 -5.5588241e+00  5.3778763e+00
 -2.2344918e+00  4.2207041e+00 -6.0106869e+00  9.2929417e-01
 -7.2840285e-01  2.9687244e-01 -2.8243044e-01  5.3064442e-01
 -4.0987849e+00 -1.2431855e+00 -2.8513570e+00 -4.3501954e+00
  3.2750847e+00  1.2195734e+00 -1.3765564e-02 -6.6608235e-02
  3.9790335e+00 -4.5776737e-01  8.3601868e-01 -3.7432172e+00
 -4.0997047e+00 -2.4519057e+00  5.8348079e+00  3.5449877e+00
  4.8973198e+00 -4.1559702e-01 -1.9954144e+00 -4.6521789e-01]",blues
"[-90.757164   140.44087    -29.084547    31.686693   -13.976547
  25.753752   -13.66499     11.634442   -11.778322     9.714755
 -13.125314     5.791247    -8.901966    -1.0801601   -9.226244
   2.4483044   -7.7248397   -1.819024    -3.4404576   -2.2381277
  -4.0523376   -0.5714225   -2.0118372   -5.386335    -5.1335306
  -7.805535    -1.1687838   -0.20596693   1.3964347   -3.00188
  -1.3764814   -4.7496324   -0.3775157    0.4934691    0.44727057
  -4.162672    -4.815749    -6.7032337   -4.425334    -0.98151916]",blues
"[-1.9957513e+02  1.5008611e+02  5.6634040e+00  2.6855278e+01
  1.7700715e+00  1.4232647e+01 -4.8278451e+00  9.2868528e+00
 -7.5612020e-01  8.1344347e+00 -3.2000260e+00  6.0780811e+00
 -2.4784451e+00 -1.0815870e+00 -2.8744540e+00  7.7399403e-01
 -3.3240688e+00  6.3631070e-01 -6.1596757e-01 -3.4050460e+00
 -1.4968088e+00 -5.4011583e-02 -1.8613145e+00 -4.7099309e+00
 -3.9263315e+00 -6.6494799e+00 -2.8977780e+00 -3.2251306e+00
 -2.7231476e-01 -3.8175535e+00 -2.8219495e+00 -4.2044272e+00
 -2.7023358e+00 -3.8456037e+00 -2.5244100e+00 -4.9356098e+00
 -5.9549770e+00 -6.6169958e+00 -6.3960018e+00 -1.5011888e+00]",blues
"[-160.35417     126.20948     -35.581394     22.139256    -32.47355
   10.850702    -23.35007       0.4932492   -11.796538      1.2035193
  -13.084959     -2.8104992    -6.9344707    -7.5538754    -9.167669
   -4.515863     -5.451786     -0.9159524    -4.408018    -11.704385
   -5.866304     -0.7214319     0.95571434   -1.2184657     4.58054
    0.30164936   -1.2800436    -4.4865327    -0.410622      0.2792643
    8.481701      3.646146     -3.0076735    -6.1108036    -6.9519696
   -4.0705533    -1.1372157    -0.4916049    -4.786619     -3.2211275 ]",blues
"[-177.80174    118.20316    -17.57063     30.760927   -21.742554
   11.919263   -20.734299     3.1852882   -8.580818    -0.9328851
  -11.772245    -2.408764    -9.348446    -9.942636    -3.9021835
   -5.574562    -1.8393145   -2.7893167   -3.0478048   -8.109732
   -2.4683328   -1.7097126   -4.2748      -4.638067    -2.3258955
    0.9291905    4.380316     5.1934047    5.691942     2.5332878
    2.618916    -4.3523993   -6.8065543   -2.9144077   -1.060713
    1.909017     1.0149454   -3.1143417   -5.300716    -5.259621 ]",blues
"[-1.9006880e+02  1.3027023e+02 -3.6362114e+01  3.3036213e+01
  1.1093892e+01 -5.9188199e-01 -2.0890266e+01  2.7844241e-01
 -6.4963851e+00 -5.5127354e+00 -7.8474040e+00 -3.1243007e+00
 -6.6028214e+00 -9.9499998e+00 -6.5426893e+00 -1.0072228e+01
 -1.0918623e+01 -6.9652433e+00 -3.4394317e+00 -6.4844990e+00
 -7.1091180e+00 -7.1270666e+00 -5.2788844e+00 -4.5941548e+00
 -3.2485371e+00 -2.9024069e+00  1.4326023e+00  2.9310663e+00
  2.1179900e+00 -1.4838628e+00 -6.3566720e-01  2.9653616e+00
  2.6103671e+00  1.7908589e+00 -1.9822515e+00 -5.1708612e+00
 -2.3732464e+00  1.4038286e-01  3.7044878e+00  5.2581644e+00]",blues
"[-1.79372299e+02  1.36448334e+02 -2.66625881e+01  3.99654503e+01
  5.31089449e+00  1.09191332e+01 -2.05595341e+01  8.50336075e+00
 -1.13497639e+01 -3.47055435e+00 -8.41584206e+00 -6.95721102e+00
 -3.54604220e+00 -8.05175781e+00 -8.96491814e+00 -8.42748165e+00
 -1.05642805e+01 -1.07856588e+01 -4.69546938e+00 -8.63164139e+00
 -1.10133343e+01 -1.03767920e+01 -1.84377396e+00 -1.44594765e+00
 -3.12922478e+00 -1.18778455e+00 -3.61276984e+00 -3.24840379e+00
 -6.32579803e-01  8.96479666e-01  4.02211714e+00  2.70666862e+00
 -1.66808769e-01 -2.52776504e+00 -3.45681381e+00 -2.88023472e+00
  7.37776220e-01 -1.94611049e+00 -4.87562943e+00 -3.23933220e+00]",blues
"[-121.38979     122.49833     -14.734729     46.122135     -8.179258
   20.172466    -19.171894     23.036839    -11.832729     21.154655
   -6.7227974     6.989506    -12.730549      5.0585384    -5.1858063
   -1.453604     -7.042629      2.694213      3.4095309    -2.7137442
   -4.271836     -0.6242572    -4.291122    -13.373034     -8.269029
   -2.0969207    10.555008      2.9229867    -1.035578     -0.75153357
   -0.50309134   -1.4110123    -1.886272     -1.8116941     2.3668487
   -4.3018703    -3.882687     -5.0936933     0.50897497    1.1860472 ]",blues
"[-2.1326424e+02  1.1516476e+02 -1.1698170e+01  3.9015358e+01
 -2.0348330e+01  1.3082702e+01 -9.1827002e+00  9.0171518e+00
 -1.4104312e+01  4.2712541e+00 -6.0507803e+00  3.7858355e+00
  2.2263552e-01 -5.1068821e+00 -4.1015333e-01 -1.1793449e+00
 -1.9147079e+00 -2.2936609e+00  2.8842604e+00 -4.2338796e+00
  1.5943897e+00  2.4687598e+00 -8.9877784e-01  1.8610442e+00
  5.0366416e+00  7.7003539e-01  5.6383834e+00  4.4044870e-01
 -9.0267456e-01 -2.2028551e+00 -1.8906778e+00 -3.4581227e+00
 -9.7014093e-01  1.5458177e+00  3.1887379e+00  4.5513167e+00
  1.9031553e+00 -6.8681526e-01 -2.7414927e+00 -5.9063006e-02]",blues
"[-1.7381046e+02  1.3717355e+02 -2.3723030e+01  2.6979677e+01
 -1.6675211e+01  4.1947308e+00 -1.2571788e+01  5.8516688e+00
 -2.8769505e+00 -1.1783808e+00 -1.9682404e+00  1.8011796e+00
 -3.0069504e+00 -1.8669492e+00 -7.9124337e-01 -3.0062361e+00
 -4.3072948e-01 -1.9965147e+00 -7.5010407e-01 -5.0069656e+00
 -1.8180920e+00  8.1014603e-01  2.5052481e+00 -1.6428747e+00
 -3.3367789e+00 -1.4087574e-01  4.4892826e+00  8.8565264e+00
  9.3213949e+00  1.2949806e+00 -1.8138595e+00 -6.4791427e+00
 -3.8715281e+00  1.7992786e+00 -3.1962483e+00 -5.8534436e+00
 -6.7214494e+00 -1.4336830e+00  3.2794235e+00  1.2398112e+00]",blues
"[-287.9319     124.010765     5.4674478   33.66307      1.0916538
   14.703699    -4.8811417    8.668892     0.7843316    6.57608
   -4.875816    -3.176761    -5.538258    -6.779148    -2.6465135
   -2.9903204   -3.3829944   -1.8589838    1.8391857   -4.891355
   -5.5366764   -3.6112394   -2.0613205   -6.509808    -6.871236
   -2.781895     1.6405017   -1.8866965   -4.676811    -3.332531
   -2.253273    -1.9183098   -1.866932    -1.3511275   -2.9252892
   -2.6896741   -1.29857     -1.4034742   -1.2837461    0.8156746]",blues
"[-2.07238297e+02  1.32827408e+02 -1.54540796e+01  6.09809723e+01
  7.19026268e-01  1.24613285e+01  1.16338527e+00 -1.53291976e+00
 -1.78958473e+01  8.36036301e+00 -2.45965075e+00 -5.84639072e-01
  3.72264504e-01  2.59841275e+00 -5.18642807e+00 -9.53030968e+00
 -9.23747349e+00 -2.84710383e+00 -1.41938353e+00 -5.93335342e+00
  7.76724291e+00  4.08764744e+00  4.05792999e+00  3.64905334e+00
  6.00376940e+00  4.23710972e-01  2.04957056e+00  1.43386209e+00
  6.50281715e+00  9.65015888e+00  6.68024778e+00  1.85716271e-01
 -2.35847521e+00 -1.06974423e+00 -2.61527151e-01  4.12619972e+00
  7.88790941e-01  5.35641253e-01  9.41198349e-01  3.30030251e+00]",blues
"[-2.0980392e+02  1.2446476e+02  1.0309393e+01  4.7016357e+01
  6.4782271e+00  1.5415120e+01 -2.0159419e+00  6.7262187e+00
 -2.1543222e+01  1.0720836e+01 -5.5328465e+00 -2.1957276e+00
 -3.0491858e+00  8.6435118e+00 -3.0701292e-01 -6.3291776e-01
 -2.9335589e+00 -1.7062988e+00 -1.7673149e+00 -7.7551389e+00
  3.4195647e+00  3.5794141e+00  2.8131702e+00 -6.3404304e-01
  3.5638633e+00 -5.5242691e+00  7.5086689e-01  5.1599703e+00
  8.5307455e+00  5.9562635e+00  7.4435406e+00  1.6496029e+00
 -5.4385263e-01  2.1704037e+00  3.7535543e+00  2.5672157e+00
  3.8704827e-01 -9.6657313e-02 -1.5357484e+00  1.3135753e+00]",blues
